,EGRA Section 1a Score,EGRA Section 1b Score,EGRA Section 1c Score,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 Letters Correct,EGRA Section 3 Time Completed,EGRA Section 3 LPM,EGRA Section 4 Words Correct,EGRA Section 4 Time Completed,EGRA Section 4: WPM,EGRA Section 5 Words Correct,EGRA Section 5 Time Completed,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 6 Written Words Correct,EGRA Section 6 Correct Space/Direction,EGRA Section 6 Correct Punctuation,EGRA Section 6 Correct Use of Capitals,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
83,1,1,1,15,6,71,60.0,71.0,13,60.0,13,47,140.0,20,0,0,2,0,0,0,3,2
84,1,1,1,7,2,61,60.0,61.0,8,60.0,8,38,166.0,14,2,0,2,0,0,2,3,2
85,1,1,1,7,2,61,60.0,61.0,8,60.0,8,38,166.0,14,2,0,2,0,0,2,3,2
86,1,1,1,0,3,52,60.0,52.0,0,11.0,0,31,180.0,10,4,0,2,0,0,4,3,2
87,1,1,1,0,3,52,60.0,52.0,0,11.0,0,31,180.0,10,4,0,2,0,0,4,3,2
88,1,1,1,0,5,55,60.0,55.0,11,60.0,11,38,135.0,17,4,0,2,0,1,2,3,3
89,1,1,1,0,5,55,60.0,55.0,11,60.0,11,38,135.0,17,4,0,2,0,1,2,3,3
90,1,1,1,3,3,52,60.0,52.0,6,60.0,6,28,180.0,9,0,0,2,0,1,2,3,3
91,1,1,1,3,3,52,60.0,52.0,6,60.0,6,28,180.0,9,0,0,2,0,1,2,3,3
92,1,1,1,3,6,51,60.0,51.0,6,60.0,6,32,180.0,11,2,0,2,0,1,2,3,3
93,1,1,1,3,6,51,60.0,51.0,6,60.0,6,32,180.0,11,2,0,2,0,1,2,3,3
94,1,1,1,3,7,50,60.0,50.0,4,60.0,4,30,161.0,11,4,0,2,0,0,1,3,2
95,1,1,1,3,7,50,60.0,50.0,4,60.0,4,30,161.0,11,4,0,2,0,0,1,3,2
96,1,1,1,47,9,100,46.0,130.0,46,47.0,59,58,41.0,85,5,2,2,0,0,4,3,4
97,1,1,1,47,9,100,46.0,130.0,46,47.0,59,58,41.0,85,5,2,2,0,0,4,3,4
98,1,1,1,45,9,98,60.0,98.0,47,60.0,47,59,58.0,61,7,1,2,0,1,1,3,4
99,1,1,1,45,9,98,60.0,98.0,47,60.0,47,59,58.0,61,7,1,2,0,1,1,3,4
100,1,1,1,47,5,80,60.0,80.0,45,47.0,57,57,35.0,98,8,2,2,0,0,3,3,4
101,1,1,1,47,5,80,60.0,80.0,45,47.0,57,57,35.0,98,8,2,2,0,0,3,3,4
102,1,1,1,32,7,70,60.0,70.0,43,60.0,43,57,48.0,71,5,2,2,0,0,4,3,4
103,1,1,1,32,7,70,60.0,70.0,43,60.0,43,57,48.0,71,5,2,2,0,0,4,3,4
104,1,1,1,27,5,80,60.0,80.0,31,60.0,31,55,77.0,43,4,0,2,0,0,2,3,2
105,1,1,1,27,5,80,60.0,80.0,31,60.0,31,55,77.0,43,4,0,2,0,0,2,3,2
106,1,1,1,24,8,72,60.0,72.0,19,60.0,19,51,101.0,30,2,0,2,0,1,3,3,3
107,1,1,1,24,8,72,60.0,72.0,19,60.0,19,51,101.0,30,2,0,2,0,1,3,3,3
108,1,1,1,33,8,79,60.0,79.0,46,60.0,46,60,39.0,92,10,1,2,0,1,4,3,4
109,1,1,1,33,8,79,60.0,79.0,46,60.0,46,60,39.0,92,10,1,2,0,1,4,3,4
110,1,1,1,16,7,90,60.0,90.0,43,60.0,43,60,44.0,82,10,1,2,0,0,4,3,3
111,1,1,1,16,7,90,60.0,90.0,43,60.0,43,60,44.0,82,10,1,2,0,0,4,3,3
112,1,1,1,36,7,93,60.0,93.0,45,45.0,60,58,38.0,92,7,3,2,0,1,4,3,6
113,1,1,1,36,7,93,60.0,93.0,45,45.0,60,58,38.0,92,7,3,2,0,1,4,3,6
114,1,1,1,33,7,95,60.0,95.0,43,60.0,43,59,46.0,77,8,3,2,0,1,3,3,6
115,1,1,1,33,7,95,60.0,95.0,43,60.0,43,59,46.0,77,8,3,2,0,1,3,3,6
