,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 LPM,EGRA Section 4: WPM,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
243,50,6,118.0,111,150,10,4,3,8
244,47,10,83.0,64,114,10,2,2,7
245,28,9,74.0,37,90,9,4,1,6
246,24,9,58.0,29,57,5,3,3,7
247,31,6,111.0,63,100,10,4,3,7
248,13,6,74.0,37,71,8,3,3,8
249,22,8,100.0,63,116,10,3,3,8
250,0,8,84.0,41,83,10,3,2,5
251,33,5,83.0,58,95,10,3,3,6
252,39,3,81.0,40,92,7,4,1,6
253,49,10,88.0,75,120,10,4,2,7
254,45,9,80.0,72,103,10,4,3,8
255,2,9,49.0,10,17,10,4,3,7
256,2,7,46.0,3,14,4,4,3,6
257,26,7,79.0,30,53,9,4,2,7
258,12,8,70.0,16,29,7,4,3,4
259,21,2,70.0,38,66,10,4,3,4
260,16,7,49.0,32,50,9,3,3,6
261,18,4,53.0,40,66,6,4,0,7
262,13,7,60.0,20,38,10,4,3,3
263,38,7,60.0,56,113,7,4,3,8
264,33,5,74.0,52,89,10,4,3,7
265,0,8,58.0,10,29,10,4,3,3
266,0,6,52.0,4,18,6,4,1,3
267,0,1,0.0,0,0,0,0,3,1
268,0,1,0.0,0,0,0,0,3,1
269,0,1,0.0,0,0,0,0,3,1
270,16,6,37.0,12,14,1,2,3,2
271,16,6,37.0,12,14,1,2,3,2
272,16,6,37.0,12,14,1,2,3,2
273,6,8,76.0,2,0,10,4,3,4
274,6,8,76.0,2,0,10,4,3,4
275,6,8,76.0,2,0,10,4,3,4
276,14,0,48.0,1,5,0,0,3,0
277,14,0,48.0,1,5,0,0,3,0
278,14,0,48.0,1,5,0,0,3,0
279,0,6,42.0,2,5,0,4,3,2
280,0,6,42.0,2,5,0,4,3,2
281,0,6,42.0,2,5,0,4,3,2
282,0,4,11.0,3,0,0,3,3,0
283,0,4,11.0,3,0,0,3,3,0
284,0,4,11.0,3,0,0,3,3,0
285,16,8,88.0,3,0,8,2,3,5
286,16,8,88.0,3,0,8,2,3,5
287,16,8,88.0,3,0,8,2,3,5
288,25,5,62.0,2,0,5,0,3,2
289,25,5,62.0,2,0,5,0,3,2
290,25,5,62.0,2,0,5,0,3,2
291,0,0,13.0,0,0,0,4,3,0
292,0,0,13.0,0,0,0,4,3,0
293,0,0,13.0,0,0,0,4,3,0
294,0,6,48.0,2,3,1,3,3,2
295,0,6,48.0,2,3,1,3,3,2
296,0,6,48.0,2,3,1,3,3,2
297,0,0,0.0,0,0,0,0,3,2
298,0,0,0.0,0,0,0,0,3,2
299,0,0,0.0,0,0,0,0,3,2
300,50,8,87.0,52,95,10,4,3,8
301,50,8,87.0,52,95,10,4,3,8
302,50,8,87.0,52,95,10,4,3,8
303,0,4,3.0,0,0,0,0,3,2
304,0,4,3.0,0,0,0,0,3,2
305,0,4,3.0,0,0,0,0,3,2
306,19,7,59.0,3,2,1,1,3,2
307,19,7,59.0,3,2,1,1,3,2
308,19,7,59.0,3,2,1,1,3,2
309,11,1,37.0,7,0,1,0,3,3
310,11,1,37.0,7,0,1,0,3,3
311,11,1,37.0,7,0,1,0,3,3
312,24,4,42.0,16,31,1,3,3,2
313,24,4,42.0,16,31,1,3,3,2
314,24,4,42.0,16,31,1,3,3,2
315,0,4,14.0,0,0,2,1,3,0
316,0,4,14.0,0,0,2,1,3,0
317,0,4,14.0,0,0,2,1,3,0
318,11,5,41.0,11,27,10,4,3,4
319,11,5,41.0,11,27,10,4,3,4
320,11,5,41.0,11,27,10,4,3,4
321,0,4,50.0,16,43,7,3,3,4
322,0,4,50.0,16,43,7,3,3,4
323,0,4,50.0,16,43,7,3,3,4
324,47,10,80.0,45,92,10,4,3,8
325,47,10,80.0,45,92,10,4,3,8
326,47,10,80.0,45,92,10,4,3,8
327,48,7,63.0,57,133,8,4,2,8
328,50,10,99.0,64,113,10,3,3,8
329,48,10,100.0,77,116,10,4,3,8
330,30,10,76.0,82,126,10,3,1,4
331,6,5,56.0,19,38,10,4,3,5
332,0,5,30.0,15,24,10,4,3,3
333,10,7,51.0,5,20,6,4,3,2
334,10,8,44.0,7,13,3,0,3,0
335,38,6,83.0,43,66,8,4,3,4
336,37,7,75.0,48,58,3,2,3,3
337,2,4,44.0,3,6,0,4,3,2
338,0,9,33.0,2,12,0,0,3,0
339,35,6,90.0,55,97,9,2,3,7
340,21,3,46.0,31,71,10,4,3,0
341,25,7,58.0,36,81,9,4,2,5
342,26,6,64.0,33,66,10,1,3,5
343,50,9,71.0,55,133,10,4,2,7
344,43,10,53.0,45,100,10,4,3,7
345,0,5,0.0,0,0,0,0,0,0
346,0,5,0.0,0,0,0,0,0,0
347,0,0,0.0,0,0,0,0,3,0
348,0,0,0.0,0,0,0,0,3,0
349,0,0,0.0,0,0,0,0,1,0
350,0,0,0.0,0,0,0,0,1,0
351,0,1,0.0,0,0,0,2,2,0
352,0,1,0.0,0,0,0,2,2,0
353,0,3,0.0,0,0,0,1,3,0
354,0,3,0.0,0,0,0,1,3,0
355,0,2,1.0,0,0,0,1,3,0
356,0,2,1.0,0,0,0,1,3,0
357,0,4,0.0,0,0,0,0,1,1
358,0,4,0.0,0,0,0,0,1,1
359,0,0,0.0,0,0,0,3,3,1
360,0,0,0.0,0,0,0,3,3,1
361,0,3,0.0,0,0,0,1,0,2
362,0,3,0.0,0,0,0,1,0,2
363,0,5,0.0,0,0,0,0,3,1
364,0,5,0.0,0,0,0,0,3,1
365,6,4,4.0,0,0,0,0,3,1
366,6,4,4.0,0,0,0,0,3,1
367,0,4,0.0,0,0,0,0,0,1
368,0,4,0.0,0,0,0,0,0,1
369,0,4,2.0,0,0,0,2,3,1
370,0,4,2.0,0,0,0,2,3,1
371,0,5,0.0,0,0,0,0,0,1
372,0,5,0.0,0,0,0,0,0,1
373,0,5,0.0,0,0,0,0,3,0
374,0,5,0.0,0,0,0,0,3,0
375,0,4,0.0,0,0,0,1,0,0
376,0,4,0.0,0,0,0,1,0,0
377,0,0,0.0,0,0,0,1,0,0
378,0,0,0.0,0,0,0,1,0,0
379,0,3,0.0,0,0,0,0,3,0
380,0,3,0.0,0,0,0,0,3,0
381,0,2,2.0,0,0,0,0,0,0
382,0,2,2.0,0,0,0,0,0,0
383,0,4,0.0,0,0,0,0,3,0
384,0,4,0.0,0,0,0,0,3,0
385,13,6,33.0,9,11,4,1,3,3
386,13,6,33.0,9,11,4,1,3,3
387,0,6,7.0,0,0,0,0,0,0
388,0,6,7.0,0,0,0,0,0,0
389,0,5,0.0,0,0,0,0,0,0
390,0,5,0.0,0,0,0,0,0,0
391,0,3,8.0,0,0,0,1,3,0
392,0,3,8.0,0,0,0,1,3,0
393,0,3,2.0,0,0,0,0,3,0
394,0,3,2.0,0,0,0,0,3,0
395,0,5,3.0,0,0,0,1,3,1
396,0,5,3.0,0,0,0,1,3,1
397,0,5,5.0,0,0,0,0,0,1
398,0,5,5.0,0,0,0,0,0,1
399,0,1,3.0,0,2,0,0,3,2
400,0,1,3.0,0,2,0,0,3,2
401,0,4,0.0,0,0,0,2,3,1
402,0,4,0.0,0,0,0,2,3,1
403,0,7,1.0,0,0,0,1,3,2
404,0,7,1.0,0,0,0,1,3,2
405,0,2,0.0,0,0,0,0,3,1
406,0,2,0.0,0,0,0,0,3,1
407,0,4,0.0,0,0,0,0,3,1
408,0,4,0.0,0,0,0,0,3,1
409,1,3,0.0,0,0,0,1,0,0
410,1,3,0.0,0,0,0,1,0,0
411,0,0,48.485308056872036,0,0,0,0,3,0
412,0,0,48.485308056872036,0,0,0,0,3,0
